cause_id:ID(Cause),name,:LABEL
cause001,InsufficientEtching,Cause
cause002,OverEtchingProcess,Cause
cause003,DrillMisalignment,Cause
cause004,ContaminatedCopperSurface,Cause
cause005,OxidationBeforeSoldering,Cause
cause006,InsufficientSolderPaste,Cause
cause007,ExcessSolderPaste,Cause
cause008,PoorLamination,Cause
cause009,MaterialImpurity,Cause
cause010,ImproperDryFilmAdhesion,Cause
cause011,InadequateCleaning,Cause
cause012,MechanicalStress,Cause
cause013,ThermalStress,Cause
cause014,ImproperExposureEnergy,Cause
cause015,InaccurateRegistration,Cause
cause016,HighMoistureEnvironment,Cause
cause017,InsufficientPlatingThickness,Cause
cause018,PoorDrillBitCondition,Cause
cause019,ForeignParticlesOnSurface,Cause
cause020,ImproperSolderingTemperature,Cause