solution_id:START_ID(Solution),defect_id:END_ID(Defect),:TYPE
solution012,defect001,解决
solution009,defect001,解决
solution002,defect002,解决
solution004,defect002,解决
solution007,defect003,解决
solution020,defect003,解决
solution004,defect004,解决
solution018,defect004,解决
solution004,defect005,解决
solution018,defect005,解决
solution004,defect006,解决
solution015,defect006,解决
solution017,defect007,解决
solution003,defect008,解决
solution014,defect008,解决
solution002,defect009,解决
solution014,defect009,解决
solution010,defect009,解决
solution007,defect010,解决
solution020,defect010,解决
solution006,defect011,解决
solution020,defect011,解决
solution007,defect012,解决
solution020,defect012,解决
solution020,defect013,解决
solution008,defect014,解决
solution013,defect014,解决
solution016,defect014,解决
solution005,defect015,解决
solution011,defect015,解决
solution019,defect015,解决
solution003,defect016,解决
solution009,defect016,解决
solution008,defect017,解决
solution013,defect017,解决
solution016,defect018,解决
solution013,defect018,解决
solution018,defect019,解决
solution009,defect019,解决
solution012,defect020,解决
solution013,defect020,解决